best_lb.0,time
316376.0,109.3
316173.0,109.4
315973.0,109.5
315776.0,109.6
315582.0,109.7
315393.0,109.8
315209.0,109.9
315025.0,110
314842.0,110.1
314663.0,110.2
314489.0,110.3
314318.0,110.4
314149.0,110.5
313986.0,110.6
313827.0,110.7
313668.0,110.8
313509.0,110.9
313366.0,111
313226.0,111.1
313089.0,111.2
312953.0,111.3
312820.0,111.4
312691.0,111.5
312562.0,111.6
312434.0,111.7
312307.0,111.8
312180.0,111.9
312053.0,112
311926.0,112.1
311807.0,112.2
311692.0,112.3
311580.0,112.4
311469.0,112.5
311360.0,112.6
311254.0,112.7
311154.0,112.8
311059.0,112.9
310964.0,113
310871.0,113.1
310781.0,113.2
310692.0,113.3
310607.0,113.4
310535.0,113.5
310461.0,113.6
310391.0,113.7
310322.0,113.8
310255.0,113.9
310188.0,114
310125.0,114.1
310064.0,114.2
310011.0,114.3
309959.0,114.4
309909.0,114.5
309877.0,114.6
309852.0,114.7
309852.0,114.8
309927.0,114.9
309951.0,115
309976.0,115.1
310026.0,115.2
310078.0,115.3
310131.0,115.4
310185.0,115.5
310246.0,115.6
310309.0,115.7
310376.0,115.8
310443.0,115.9
310512.0,116
310582.0,116.1
310656.0,116.2
310728.0,116.3
310817.0,116.4
310907.0,116.5
311000.0,116.6
311095.0,116.7
311190.0,116.8
311290.0,116.9
311396.0,117
311505.0,117.1
311616.0,117.2
311728.0,117.3
311843.0,117.4
311959.0,117.5
312077.0,117.6
312196.0,117.7
312323.0,117.8
312450.0,117.9
312577.0,118
312704.0,118.1
312832.0,118.2
312961.0,118.3
313094.0,118.4
313230.0,118.5
313367.0,118.6
313517.0,118.7
313655.0,118.8
313795.0,118.9
313938.0,119
314097.0,119.1
314256.0,119.2
314415.0,119.3
314578.0,119.4
314747.0,119.5
314918.0,119.6
315092.0,119.7
315271.0,119.8
315454.0,119.9
315638.0,120
315822.0,120.1
316011.0,120.2
316205.0,120.3
316402.0,120.4
316410.0,120.5
316226.0,120.6
316029.0,120.7
315835.0,120.8
315646.0,120.9
315462.0,121
315279.0,121.1
315100.0,121.2
314926.0,121.3
314755.0,121.4
314586.0,121.5
314448.0,121.6
314285.0,121.7
314126.0,121.8
313967.0,121.9
313808.0,122
313658.0,122.1
313515.0,122.2
313375.0,122.3
313238.0,122.4
313102.0,122.5
312984.0,122.6
312960.0,122.7
312885.0,122.8
